,weight,strat,psu,WGTFLAG,FinalWgt,Year,State,Schoolname,RegionName,CR2,CR3,CR5
0,3.56430375,1,1,U,1,2024,AL,Brewbaker Middle School,Montogomery,2.0,3.0,1.0
1,12.704762700000002,1,2,U,1,2024,AL,Brewbaker Middle School,Montogomery,2.0,3.0,3.0
2,10.716023250000001,1,3,U,1,2024,AL,Brewbaker Middle School,Montogomery,1.0,2.0,3.0
3,10.844744250000002,1,1,U,1,2024,AL,Brewbaker Middle School,Montogomery,1.0,1.0,3.0
4,10.844744250000002,1,2,U,1,2024,AL,Brewbaker Middle School,Montogomery,1.0,1.0,
5,21.004474499999997,1,3,U,1,2024,AL,Brewbaker Middle School,Montogomery,2.0,2.0,6.0
6,12.704762700000002,1,1,U,1,2024,AL,Brewbaker Middle School,Montogomery,1.0,3.0,3.0
7,10.716023250000001,1,2,U,1,2024,AL,Brewbaker Middle School,Montogomery,,2.0,3.0
8,10.844744250000002,1,3,U,1,2024,AL,Brewbaker Middle School,Montogomery,1.0,1.0,3.0
9,3.56430375,1,1,U,1,2024,AL,Brewbaker Middle School,Montogomery,1.0,3.0,1.0
10,10.376084249999998,1,2,U,1,2024,AL,Brewbaker Middle School,Montogomery,2.0,3.0,6.0
11,10.376084249999998,1,3,U,1,2024,AL,Brewbaker Middle School,Montogomery,1.0,3.0,6.0
12,10.010533153846154,1,1,U,1,2024,AL,Brewbaker Middle School,Montogomery,2.0,1.0,3.0
13,10.716023250000001,1,2,U,1,2024,AL,Brewbaker Middle School,Montogomery,1.0,2.0,3.0
14,10.010533153846154,1,3,U,1,2024,AL,Brewbaker Middle School,Montogomery,2.0,1.0,3.0
15,10.010533153846154,1,1,U,1,2024,AL,Brewbaker Middle School,Montogomery,2.0,1.0,3.0
16,12.8592279,1,2,U,1,2024,AL,Brewbaker Middle School,Montogomery,2.0,2.0,3.0
17,10.716023250000001,1,3,U,1,2024,AL,Brewbaker Middle School,Montogomery,1.0,2.0,3.0
18,12.704762700000002,1,1,U,1,2024,AL,Brewbaker Middle School,Montogomery,,3.0,3.0
19,10.844744250000002,1,2,U,1,2024,AL,Brewbaker Middle School,Montogomery,1.0,1.0,3.0
20,12.704762700000002,1,3,U,1,2024,AL,Brewbaker Middle School,Montogomery,1.0,3.0,3.0
21,12.704762700000002,1,1,U,1,2024,AL,Brewbaker Middle School,Montogomery,2.0,3.0,3.0
22,12.8592279,1,2,U,1,2024,AL,Brewbaker Middle School,Montogomery,2.0,,3.0
23,12.704762700000002,1,3,U,1,2024,AL,Brewbaker Middle School,Montogomery,2.0,3.0,3.0
24,10.010533153846154,1,1,U,1,2024,AL,Brewbaker Middle School,Montogomery,2.0,1.0,
25,10.010533153846154,1,2,U,1,2024,AL,Brewbaker Middle School,Montogomery,2.0,1.0,3.0
26,12.704762700000002,1,3,U,1,2024,AL,Brewbaker Middle School,Montogomery,2.0,3.0,3.0
27,10.010533153846154,1,1,U,1,2024,AL,Brewbaker Middle School,Montogomery,,1.0,3.0
28,12.704762700000002,1,2,U,1,2024,AL,Brewbaker Middle School,Montogomery,1.0,3.0,3.0
29,10.844744250000002,1,3,U,1,2024,AL,Brewbaker Middle School,Montogomery,1.0,1.0,3.0
30,12.704762700000002,1,1,U,1,2024,AL,Brewbaker Middle School,Montogomery,2.0,3.0,
31,3.6509737500000004,1,2,U,1,2024,AL,Brewbaker Middle School,Montogomery,1.0,1.0,1.0
32,10.716023250000001,1,3,U,1,2024,AL,Brewbaker Middle School,Montogomery,1.0,2.0,3.0
33,10.844744250000002,1,1,U,1,2024,AL,Brewbaker Middle School,Montogomery,1.0,1.0,3.0
34,12.8592279,1,2,U,1,2024,AL,Brewbaker Middle School,Montogomery,2.0,2.0,3.0
35,10.010533153846154,1,3,U,1,2024,AL,Brewbaker Middle School,Montogomery,2.0,1.0,3.0
36,12.8592279,1,1,U,1,2024,AL,Brewbaker Middle School,Montogomery,2.0,2.0,3.0
37,10.716023250000001,1,2,U,1,2024,AL,Brewbaker Middle School,Montogomery,1.0,2.0,
38,10.010533153846154,1,3,U,1,2024,AL,Brewbaker Middle School,Montogomery,2.0,1.0,3.0
39,10.844744250000002,1,1,U,1,2024,AL,Brewbaker Middle School,Montogomery,1.0,1.0,
40,3.56430375,1,2,U,1,2024,AL,Brewbaker Middle School,Montogomery,1.0,3.0,1.0
41,10.716023250000001,1,3,U,1,2024,AL,Brewbaker Middle School,Montogomery,1.0,2.0,3.0
42,10.844744250000002,1,1,U,1,2024,AL,Brewbaker Middle School,Montogomery,1.0,1.0,3.0
43,10.716023250000001,1,2,U,1,2024,AL,Brewbaker Middle School,Montogomery,1.0,2.0,3.0
44,12.704762700000002,1,3,U,1,2024,AL,Brewbaker Middle School,Montogomery,1.0,3.0,3.0
45,3.6509737500000004,1,1,U,1,2024,AL,Brewbaker Middle School,Montogomery,1.0,1.0,1.0
46,12.704762700000002,1,2,U,1,2024,AL,Brewbaker Middle School,Montogomery,2.0,3.0,3.0
47,12.8592279,1,3,U,1,2024,AL,Brewbaker Middle School,Montogomery,2.0,2.0,3.0
48,3.56430375,1,1,U,1,2024,AL,Brewbaker Middle School,Montogomery,2.0,3.0,1.0
49,10.62839025,1,2,U,1,2024,AL,Brewbaker Middle School,Montogomery,1.0,1.0,6.0
50,10.844744250000002,1,3,U,1,2024,AL,Brewbaker Middle School,Montogomery,1.0,1.0,3.0
51,10.010533153846154,1,1,U,1,2024,AL,Brewbaker Middle School,Montogomery,,1.0,3.0
52,12.704762700000002,1,2,U,1,2024,AL,Brewbaker Middle School,Montogomery,1.0,3.0,3.0
53,12.704762700000002,1,3,U,1,2024,AL,Brewbaker Middle School,Montogomery,1.0,3.0,3.0
54,10.62839025,1,1,U,1,2024,AL,Brewbaker Middle School,Montogomery,1.0,1.0,6.0
55,10.010533153846154,1,2,U,1,2024,AL,Brewbaker Middle School,Montogomery,2.0,1.0,3.0
56,12.704762700000002,1,3,U,1,2024,AL,Brewbaker Middle School,Montogomery,1.0,3.0,3.0
57,10.844744250000002,1,1,U,1,2024,AL,Brewbaker Middle School,Montogomery,1.0,1.0,3.0
58,12.8592279,1,2,U,1,2024,AL,Brewbaker Middle School,Montogomery,2.0,2.0,3.0
59,12.704762700000002,1,3,U,1,2024,AL,Brewbaker Middle School,Montogomery,2.0,3.0,3.0
60,10.716023250000001,1,1,U,1,2024,AL,Brewbaker Middle School,Montogomery,1.0,2.0,3.0
61,10.844744250000002,1,2,U,1,2024,AL,Brewbaker Middle School,Montogomery,1.0,1.0,3.0
62,12.704762700000002,1,3,U,1,2024,AL,Brewbaker Middle School,Montogomery,1.0,3.0,3.0
63,12.8592279,1,1,U,1,2024,AL,Brewbaker Middle School,Montogomery,2.0,2.0,3.0
64,12.8592279,1,2,U,1,2024,AL,Brewbaker Middle School,Montogomery,2.0,2.0,3.0
65,7.301947500000001,1,3,U,1,2024,AL,Brewbaker Middle School,Montogomery,2.0,1.0,1.0
66,10.716023250000001,1,1,U,1,2024,AL,Brewbaker Middle School,Montogomery,1.0,2.0,
67,10.010533153846154,1,2,U,1,2024,AL,Brewbaker Middle School,Montogomery,2.0,1.0,3.0
68,12.704762700000002,1,3,U,1,2024,AL,Brewbaker Middle School,Montogomery,1.0,3.0,3.0
69,2.0593755000000002,1,1,U,1,2024,AL,Brewbaker Middle School,Montogomery,1.0,3.0,5.0
70,12.8592279,1,2,U,1,2024,AL,Brewbaker Middle School,Montogomery,2.0,2.0,3.0
71,21.004474499999997,1,3,U,1,2024,AL,Brewbaker Middle School,Montogomery,1.0,2.0,6.0
72,12.704762700000002,1,1,U,1,2024,AL,Brewbaker Middle School,Montogomery,1.0,3.0,3.0
73,12.8592279,1,2,U,1,2024,AL,Brewbaker Middle School,Montogomery,2.0,2.0,3.0
74,2.0844135,1,3,U,1,2024,AL,Brewbaker Middle School,Montogomery,2.0,2.0,5.0
75,10.716023250000001,1,1,U,1,2024,AL,Brewbaker Middle School,Montogomery,1.0,2.0,
76,10.010533153846154,1,2,U,1,2024,AL,Brewbaker Middle School,Montogomery,2.0,1.0,3.0
77,12.704762700000002,1,3,U,1,2024,AL,Brewbaker Middle School,Montogomery,2.0,3.0,
78,12.704762700000002,1,1,U,1,2024,AL,Brewbaker Middle School,Montogomery,2.0,3.0,3.0
79,10.716023250000001,1,2,U,1,2024,AL,Brewbaker Middle School,Montogomery,1.0,2.0,3.0
80,10.376084249999998,1,3,U,1,2024,AL,Brewbaker Middle School,Montogomery,1.0,3.0,6.0
81,10.010533153846154,1,1,U,1,2024,AL,Brewbaker Middle School,Montogomery,2.0,1.0,3.0
82,10.376084249999998,1,2,U,1,2024,AL,Brewbaker Middle School,Montogomery,2.0,3.0,6.0
83,10.844744250000002,1,3,U,1,2024,AL,Brewbaker Middle School,Montogomery,1.0,1.0,3.0
84,6.362740080000001,2,4,U,1,2024,AL,Southlawn Middle School,Montogomery,1.0,1.0,3.0
85,5.464453652307692,2,5,U,1,2024,AL,Southlawn Middle School,Montogomery,1.0,2.0,3.0
86,7.2676207800000014,2,6,U,1,2024,AL,Southlawn Middle School,Montogomery,2.0,3.0,3.0
87,6.362740080000001,2,4,U,1,2024,AL,Southlawn Middle School,Montogomery,1.0,1.0,3.0
88,7.2676207800000014,2,5,U,1,2024,AL,Southlawn Middle School,Montogomery,2.0,3.0,3.0
89,5.938557407999999,2,6,U,1,2024,AL,Southlawn Middle School,Montogomery,2.0,1.0,3.0
90,5.938557407999999,2,4,U,1,2024,AL,Southlawn Middle School,Montogomery,2.0,1.0,3.0
91,5.464453652307692,2,5,U,1,2024,AL,Southlawn Middle School,Montogomery,1.0,2.0,3.0
92,5.464453652307692,2,6,U,1,2024,AL,Southlawn Middle School,Montogomery,1.0,2.0,3.0
93,6.229389240000001,2,4,U,1,2024,AL,Southlawn Middle School,Montogomery,1.0,3.0,3.0
94,12.558239680000003,2,5,U,1,2024,AL,Southlawn Middle School,Montogomery,2.0,1.0,6.0
95,7.2676207800000014,2,6,U,1,2024,AL,Southlawn Middle School,Montogomery,2.0,3.0,3.0
96,7.2676207800000014,2,4,U,1,2024,AL,Southlawn Middle School,Montogomery,2.0,3.0,3.0
97,12.74623728,2,5,U,1,2024,AL,Southlawn Middle School,Montogomery,2.0,2.0,6.0
98,6.362740080000001,2,6,U,1,2024,AL,Southlawn Middle School,Montogomery,1.0,1.0,3.0
99,6.457990679999999,2,4,U,1,2024,AL,Southlawn Middle School,Montogomery,2.0,2.0,3.0
100,6.457990679999999,2,5,U,1,2024,AL,Southlawn Middle School,Montogomery,2.0,2.0,3.0
101,5.464453652307692,2,6,U,1,2024,AL,Southlawn Middle School,Montogomery,1.0,2.0,3.0
102,6.362740080000001,2,4,U,1,2024,AL,Southlawn Middle School,Montogomery,1.0,1.0,3.0
103,5.464453652307692,2,5,U,1,2024,AL,Southlawn Middle School,Montogomery,1.0,2.0,3.0
104,6.457990679999999,2,6,U,1,2024,AL,Southlawn Middle School,Montogomery,2.0,2.0,3.0
105,5.464453652307692,2,4,U,1,2024,AL,Southlawn Middle School,Montogomery,1.0,2.0,
106,7.2676207800000014,2,5,U,1,2024,AL,Southlawn Middle School,Montogomery,2.0,3.0,3.0
107,5.938557407999999,2,6,U,1,2024,AL,Southlawn Middle School,Montogomery,2.0,1.0,3.0
108,5.938557407999999,2,4,U,1,2024,AL,Southlawn Middle School,Montogomery,2.0,1.0,3.0
109,6.457990679999999,2,5,U,1,2024,AL,Southlawn Middle School,Montogomery,2.0,2.0,3.0
110,5.938557407999999,2,6,U,1,2024,AL,Southlawn Middle School,Montogomery,2.0,1.0,3.0
111,6.362740080000001,2,4,U,1,2024,AL,Southlawn Middle School,Montogomery,1.0,1.0,3.0
112,6.362740080000001,2,5,U,1,2024,AL,Southlawn Middle School,Montogomery,1.0,1.0,3.0
113,2.71590528,2,6,U,1,2024,AL,Southlawn Middle School,Montogomery,1.0,2.0,5.0
114,6.457990679999999,2,4,U,1,2024,AL,Southlawn Middle School,Montogomery,2.0,2.0,3.0
115,6.229389240000001,2,5,U,1,2024,AL,Southlawn Middle School,Montogomery,1.0,3.0,3.0
116,6.229389240000001,2,6,U,1,2024,AL,Southlawn Middle School,Montogomery,1.0,3.0,3.0
117,6.229389240000001,2,4,U,1,2024,AL,Southlawn Middle School,Montogomery,1.0,3.0,3.0
118,5.938557407999999,2,5,U,1,2024,AL,Southlawn Middle School,Montogomery,2.0,1.0,3.0
119,6.362740080000001,2,6,U,1,2024,AL,Southlawn Middle School,Montogomery,1.0,1.0,3.0
120,5.938557407999999,2,4,U,1,2024,AL,Southlawn Middle School,Montogomery,2.0,1.0,3.0
121,12.295043040000001,2,5,U,1,2024,AL,Southlawn Middle School,Montogomery,2.0,3.0,6.0
122,7.2676207800000014,2,6,U,1,2024,AL,Southlawn Middle School,Montogomery,2.0,3.0,3.0
123,7.2676207800000014,2,4,U,1,2024,AL,Southlawn Middle School,Montogomery,2.0,3.0,3.0
124,6.229389240000001,2,5,U,1,2024,AL,Southlawn Middle School,Montogomery,1.0,3.0,3.0
125,5.938557407999999,2,6,U,1,2024,AL,Southlawn Middle School,Montogomery,2.0,1.0,3.0
126,5.938557407999999,2,4,U,1,2024,AL,Southlawn Middle School,Montogomery,2.0,1.0,3.0
127,6.229389240000001,2,5,U,1,2024,AL,Southlawn Middle School,Montogomery,1.0,3.0,3.0
128,6.229389240000001,2,6,U,1,2024,AL,Southlawn Middle School,Montogomery,1.0,3.0,3.0
129,5.938557407999999,2,4,U,1,2024,AL,Southlawn Middle School,Montogomery,2.0,1.0,3.0
130,5.938557407999999,2,5,U,1,2024,AL,Southlawn Middle School,Montogomery,2.0,1.0,3.0
131,7.2676207800000014,2,6,U,1,2024,AL,Southlawn Middle School,Montogomery,2.0,3.0,3.0
132,6.457990679999999,2,4,U,1,2024,AL,Southlawn Middle School,Montogomery,2.0,2.0,
133,9.66039096,2,5,U,1,2024,AL,Southlawn Middle School,Montogomery,1.0,3.0,
134,5.938557407999999,2,6,U,1,2024,AL,Southlawn Middle School,Montogomery,2.0,1.0,3.0
135,5.464453652307692,2,4,U,1,2024,AL,Southlawn Middle School,Montogomery,1.0,2.0,3.0
136,3.4056243200000003,2,5,U,1,2024,AL,Southlawn Middle School,Montogomery,2.0,1.0,
137,5.938557407999999,2,6,U,1,2024,AL,Southlawn Middle School,Montogomery,2.0,1.0,3.0
138,5.464453652307692,2,4,U,1,2024,AL,Southlawn Middle School,Montogomery,1.0,2.0,3.0
139,6.229389240000001,2,5,U,1,2024,AL,Southlawn Middle School,Montogomery,1.0,3.0,3.0
140,6.457990679999999,2,6,U,1,2024,AL,Southlawn Middle School,Montogomery,2.0,2.0,3.0
141,6.362740080000001,2,4,U,1,2024,AL,Southlawn Middle School,Montogomery,1.0,1.0,3.0
142,6.229389240000001,2,5,U,1,2024,AL,Southlawn Middle School,Montogomery,1.0,3.0,3.0
143,6.457990679999999,2,6,U,1,2024,AL,Southlawn Middle School,Montogomery,2.0,2.0,3.0
144,3.3342489599999996,2,4,U,1,2024,AL,Southlawn Middle School,Montogomery,2.0,3.0,5.0
145,6.457990679999999,2,5,U,1,2024,AL,Southlawn Middle School,Montogomery,2.0,2.0,3.0
146,7.2676207800000014,2,6,U,1,2024,AL,Southlawn Middle School,Montogomery,2.0,3.0,3.0
147,5.464453652307692,2,4,U,1,2024,AL,Southlawn Middle School,Montogomery,1.0,2.0,3.0
148,5.464453652307692,2,5,U,1,2024,AL,Southlawn Middle School,Montogomery,1.0,2.0,3.0
149,5.464453652307692,2,6,U,1,2024,AL,Southlawn Middle School,Montogomery,1.0,2.0,3.0
150,5.938557407999999,2,4,U,1,2024,AL,Southlawn Middle School,Montogomery,2.0,1.0,3.0
151,9.86718832,2,5,U,1,2024,AL,Southlawn Middle School,Montogomery,1.0,1.0,6.0
