Unnamed: 0,weight,strat,psu,WGTFLAG,FinalWgt,Year,State,Schoolname,RegionName,CR2,CR3,CR5,CR7,CR11,CR12,CR13,CR21,CR22,CR23,CR54,CR56
0,3.56430375,1,1,U,1,2024,AL,Brewbaker Middle School,Montogomery,2.0,3.0,1.0,1,2,2,1,2,2,1,1,1
1,12.704762700000002,1,2,U,1,2024,AL,Brewbaker Middle School,Montogomery,2.0,3.0,3.0,2,2,1,1,2,2,1,1,1
2,10.71602325,1,3,U,1,2024,AL,Brewbaker Middle School,Montogomery,1.0,2.0,3.0,2,1,1,1,2,2,1,1,1
3,10.844744250000002,1,1,U,1,2024,AL,Brewbaker Middle School,Montogomery,1.0,1.0,3.0,2,1,1,1,2,1,1,1,1
4,10.844744250000002,1,2,U,1,2024,AL,Brewbaker Middle School,Montogomery,1.0,1.0,,1,2,1,1,2,2,1,1,1
5,21.0044745,1,3,U,1,2024,AL,Brewbaker Middle School,Montogomery,2.0,2.0,6.0,1,2,1,1,2,2,1,1,1
6,12.704762700000002,1,1,U,1,2024,AL,Brewbaker Middle School,Montogomery,1.0,3.0,3.0,2,3,3,1,2,2,1,1,2
7,10.71602325,1,2,U,1,2024,AL,Brewbaker Middle School,Montogomery,,2.0,3.0,2,1,1,1,2,1,1,1,1
8,10.844744250000002,1,3,U,1,2024,AL,Brewbaker Middle School,Montogomery,1.0,1.0,3.0,2,1,1,1,2,2,1,1,1
9,3.56430375,1,1,U,1,2024,AL,Brewbaker Middle School,Montogomery,1.0,3.0,1.0,1,3,2,1,2,2,1,1,1
10,10.376084249999998,1,2,U,1,2024,AL,Brewbaker Middle School,Montogomery,2.0,3.0,6.0,1,2,2,1,2,2,1,1,2
11,10.376084249999998,1,3,U,1,2024,AL,Brewbaker Middle School,Montogomery,1.0,3.0,6.0,2,2,1,1,2,1,1,1,1
12,10.010533153846154,1,1,U,1,2024,AL,Brewbaker Middle School,Montogomery,2.0,1.0,3.0,1,2,1,1,2,2,1,1,1
13,10.71602325,1,2,U,1,2024,AL,Brewbaker Middle School,Montogomery,1.0,2.0,3.0,2,1,1,1,2,1,1,1,1
14,10.010533153846154,1,3,U,1,2024,AL,Brewbaker Middle School,Montogomery,2.0,1.0,3.0,1,1,1,1,2,1,1,1,1
15,10.010533153846154,1,1,U,1,2024,AL,Brewbaker Middle School,Montogomery,2.0,1.0,3.0,1,1,1,1,2,2,1,1,1
16,12.8592279,1,2,U,1,2024,AL,Brewbaker Middle School,Montogomery,2.0,2.0,3.0,1,1,1,1,2,2,1,1,1
17,10.71602325,1,3,U,1,2024,AL,Brewbaker Middle School,Montogomery,1.0,2.0,3.0,2,1,1,1,2,1,1,1,1
18,12.704762700000002,1,1,U,1,2024,AL,Brewbaker Middle School,Montogomery,,3.0,3.0,2,2,1,1,2,2,1,1,1
19,10.844744250000002,1,2,U,1,2024,AL,Brewbaker Middle School,Montogomery,1.0,1.0,3.0,1,2,1,1,2,2,1,1,1
20,12.704762700000002,1,3,U,1,2024,AL,Brewbaker Middle School,Montogomery,1.0,3.0,3.0,2,2,2,1,2,2,1,1,1
21,12.704762700000002,1,1,U,1,2024,AL,Brewbaker Middle School,Montogomery,2.0,3.0,3.0,1,2,2,1,2,2,1,1,1
22,12.8592279,1,2,U,1,2024,AL,Brewbaker Middle School,Montogomery,2.0,,3.0,2,2,1,1,2,2,1,1,1
23,12.704762700000002,1,3,U,1,2024,AL,Brewbaker Middle School,Montogomery,2.0,3.0,3.0,1,3,2,1,2,2,1,1,1
24,10.010533153846154,1,1,U,1,2024,AL,Brewbaker Middle School,Montogomery,2.0,1.0,,1,2,1,1,2,2,1,1,1
25,10.010533153846154,1,2,U,1,2024,AL,Brewbaker Middle School,Montogomery,2.0,1.0,3.0,1,2,1,1,2,2,1,1,1
26,12.704762700000002,1,3,U,1,2024,AL,Brewbaker Middle School,Montogomery,2.0,3.0,3.0,1,2,3,1,2,4,1,1,1
27,10.010533153846154,1,1,U,1,2024,AL,Brewbaker Middle School,Montogomery,,1.0,3.0,2,2,1,1,2,2,1,1,1
28,12.704762700000002,1,2,U,1,2024,AL,Brewbaker Middle School,Montogomery,1.0,3.0,3.0,2,2,2,1,2,2,1,1,1
29,10.844744250000002,1,3,U,1,2024,AL,Brewbaker Middle School,Montogomery,1.0,1.0,3.0,1,2,1,1,2,1,1,1,1
30,12.704762700000002,1,1,U,1,2024,AL,Brewbaker Middle School,Montogomery,2.0,3.0,,1,3,2,1,2,2,2,1,1
31,3.65097375,1,2,U,1,2024,AL,Brewbaker Middle School,Montogomery,1.0,1.0,1.0,1,2,1,1,2,2,1,1,1
32,10.71602325,1,3,U,1,2024,AL,Brewbaker Middle School,Montogomery,1.0,2.0,3.0,1,2,1,1,2,2,1,1,1
33,10.844744250000002,1,1,U,1,2024,AL,Brewbaker Middle School,Montogomery,1.0,1.0,3.0,2,1,1,1,2,1,1,1,1
34,12.8592279,1,2,U,1,2024,AL,Brewbaker Middle School,Montogomery,2.0,2.0,3.0,1,2,1,1,2,2,1,1,1
35,10.010533153846154,1,3,U,1,2024,AL,Brewbaker Middle School,Montogomery,2.0,1.0,3.0,1,1,1,1,2,1,1,1,1
36,12.8592279,1,1,U,1,2024,AL,Brewbaker Middle School,Montogomery,2.0,2.0,3.0,1,1,1,1,2,2,1,1,1
37,10.71602325,1,2,U,1,2024,AL,Brewbaker Middle School,Montogomery,1.0,2.0,,1,2,1,1,2,2,1,1,1
38,10.010533153846154,1,3,U,1,2024,AL,Brewbaker Middle School,Montogomery,2.0,1.0,3.0,1,2,1,1,2,2,1,1,1
39,10.844744250000002,1,1,U,1,2024,AL,Brewbaker Middle School,Montogomery,1.0,1.0,,1,2,1,1,2,2,1,1,1
40,3.56430375,1,2,U,1,2024,AL,Brewbaker Middle School,Montogomery,1.0,3.0,1.0,1,2,2,1,2,3,1,1,1
41,10.71602325,1,3,U,1,2024,AL,Brewbaker Middle School,Montogomery,1.0,2.0,3.0,2,2,1,1,2,1,1,1,1
42,10.844744250000002,1,1,U,1,2024,AL,Brewbaker Middle School,Montogomery,1.0,1.0,3.0,2,1,1,1,2,1,1,1,1
